"filename", "language", "Go Checksum File", "Go", "Go Module File", "comment", "blank", "total"
"d:\1_Study\Project\Active\LinkStar\linkstar\go.mod", "Go Module File", 0, 0, 2, 0, 2, 4
"d:\1_Study\Project\Active\LinkStar\linkstar\main.go", "Go", 0, 3, 0, 0, 3, 6
"d:\1_Study\Project\Active\LinkStar\linkstar\test\stun\go.mod", "Go Module File", 0, 0, 14, 0, 4, 18
"d:\1_Study\Project\Active\LinkStar\linkstar\test\stun\go.sum", "Go Checksum File", 67, 0, 0, 0, 1, 68
"d:\1_Study\Project\Active\LinkStar\linkstar\test\stun\main.go", "Go", 0, 695, 0, 40, 105, 840
"d:\1_Study\Project\Active\LinkStar\linkstar\test\upnp\go.mod", "Go Module File", 0, 0, 4, 0, 4, 8
"d:\1_Study\Project\Active\LinkStar\linkstar\test\upnp\go.sum", "Go Checksum File", 4, 0, 0, 0, 1, 5
"d:\1_Study\Project\Active\LinkStar\linkstar\test\upnp\main.go", "Go", 0, 94, 0, 10, 23, 127
"Total", "-", 71, 792, 20, 50, 143, 1076
